Date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JPM,KO,MA,MCD,META,MRK,MSFT,NKE,NVDA,PEP,PG,T,TSLA,V,VZ,WMT,XOM
2015-01-02,24.192604064941406,41.11923599243164,72.33999633789062,15.425999641418457,14.050793647766113,113.63451385498047,58.23255157470703,19.530847549438477,68.89833068847656,84.71681213378906,26.244781494140625,78.78034973144531,27.896453857421875,46.06678771972656,29.3902530670166,79.71469116210938,69.80443572998047,77.76708984375,38.20956802368164,39.681732177734375,40.74406814575195,0.48242300748825073,66.58293151855469,65.06999969482422,11.252731323242188,14.620667457580566,61.0881233215332,25.30165672302246,23.12754249572754,57.14555358886719
2015-01-05,23.511056900024414,40.34539794921875,71.9800033569336,15.10949993133545,13.642616271972656,112.3425521850586,57.18074417114258,19.141794204711914,66.14435577392578,83.47881317138672,25.74471664428711,77.12751007080078,27.581897735595703,44.63664245605469,29.3902530670166,77.47245788574219,69.03352355957031,76.51805877685547,38.777469635009766,39.31684112548828,40.08808517456055,0.4742748439311981,66.08234405517578,64.76061248779297,11.146413803100586,14.005999565124512,59.73966979980469,25.09152603149414,23.06023406982422,55.58193588256836
2015-01-06,23.513269424438477,40.14570999145508,70.52999877929688,14.76449966430664,13.23443603515625,113.82709503173828,56.22724151611328,19.13471031188965,66.11376190185547,83.03602600097656,25.109352111816406,76.89139556884766,27.06785011291504,43.47926330566406,29.613441467285156,77.30499267578125,69.1607437133789,75.48710632324219,40.30077362060547,38.73976135253906,39.852272033691406,0.4598955810070038,65.58177947998047,64.46562957763672,11.163025856018066,14.085332870483398,59.35470962524414,25.344772338867188,23.237932205200195,55.28646469116211
2015-01-07,23.842975616455078,41.76826095581055,71.11000061035156,14.920999526977539,13.297233581542969,115.80912780761719,55.961830139160156,19.311559677124023,66.05868530273438,83.88544464111328,25.035503387451172,79.52680206298828,27.635601043701172,43.54560852050781,29.98307991027832,78.50749969482422,70.36580657958984,75.48710632324219,41.16265869140625,39.231956481933594,40.67546844482422,0.45869725942611694,67.49945831298828,64.80376434326172,11.228114128112793,14.063332557678223,60.14997100830078,25.181201934814453,23.8544921875,55.84664535522461
2015-01-08,24.759082794189453,42.20509338378906,72.91999816894531,15.02299976348877,13.57197093963623,116.80416107177734,57.593605041503906,19.46010971069336,67.57032775878906,84.75293731689453,25.122730255126953,81.28628540039062,28.14963722229004,44.5186882019043,30.345754623413086,79.72864532470703,70.62779998779297,77.49942779541016,41.99110794067383,40.386104583740234,41.614418029785156,0.47595226764678955,68.72621154785156,65.54487609863281,11.339822769165039,14.041333198547363,60.95673370361328,25.720932006835938,24.35796356201172,56.776222229003906
2015-01-09,24.7856388092041,41.050594329833984,71.83999633789062,14.846500396728516,13.328632354736328,115.00668334960938,57.17091369628906,19.658180236816406,66.22392272949219,85.16862487792969,24.815950393676758,79.89239501953125,28.203344345092773,43.74464416503906,30.010976791381836,78.71260070800781,69.76702880859375,77.06326293945312,41.7973518371582,40.0466423034668,41.15566635131836,0.47786960005760193,68.26091003417969,64.93329620361328,11.305965423583984,13.77733325958252,60.05315017700195,25.49195671081543,24.056419372558594,56.6961555480957
2015-01-12,24.17490005493164,41.03810119628906,71.12000274658203,14.570500373840332,13.093144416809082,114.3647232055664,56.74822998046875,19.84209632873535,64.7979736328125,85.35838317871094,24.634557723999023,79.534423828125,28.080595016479492,43.368682861328125,29.738983154296875,77.70584106445312,69.61734008789062,76.05213928222656,41.62364196777344,39.545963287353516,41.09993362426758,0.4718782603740692,67.97888946533203,64.69586944580078,11.336433410644531,13.480667114257812,59.935585021972656,25.666412353515625,24.236799240112305,55.60655975341797
2015-01-13,24.38954734802246,39.8560676574707,70.58999633789062,14.737000465393066,12.912602424621582,113.21720886230469,56.98414611816406,19.877466201782227,63.76982498168945,86.01806640625,24.869476318359375,79.00885772705078,28.00386619567871,43.37605285644531,29.732004165649414,77.88296508789062,69.48258972167969,75.78449249267578,41.5501594543457,39.3422966003418,40.735504150390625,0.47115930914878845,67.92951965332031,64.96927642822266,11.336433410644531,13.616666793823242,60.11076736450195,25.720932006835938,24.045650482177734,55.4034309387207
2015-01-14,24.29659652709961,40.05097198486328,69.98999786376953,14.66349983215332,12.59076976776123,111.78885650634766,56.27638626098633,19.750139236450195,63.586219787597656,85.15055084228516,25.074159622192383,78.17861938476562,27.88878059387207,41.87956237792969,29.68318748474121,77.79901885986328,68.51704406738281,75.615966796875,41.850807189941406,39.00284194946289,40.17811965942383,0.47307658195495605,68.15514373779297,64.74622344970703,11.282270431518555,12.845999717712402,58.90754318237305,25.606441497802734,23.318708419799805,55.24338150024414
2015-01-15,23.637191772460938,39.54169464111328,70.29000091552734,14.34749984741211,11.931404113769531,111.78885650634766,54.17278289794922,19.389368057250977,62.83348083496094,85.25899505615234,24.979007720947266,76.93708801269531,27.766023635864258,40.53788375854492,29.55765724182129,76.671142578125,68.39729309082031,73.40538787841797,41.3430290222168,38.59548568725586,39.79224395751953,0.4697212874889374,68.15514373779297,64.65270233154297,11.258580207824707,12.791333198547363,58.347412109375,25.67731285095215,23.52602195739746,54.763206481933594
